solution_id,solution_short_name,solution_short_desc,submission_languages,ecosystem_restoration_verification,alternative_credit_scoring,generative_grant_proposal_writing,predictive_infrastructure_maintenance,multilingual_advisory_chatbots,pest_disease_outbreak_prediction,renewable_grid_load_balancing,hyper_local_weather_hazard_forecasting,precision_agriculture_advisory,infrastructure_integrity_monitoring,automated_impact_reporting_viz,groundwater_resource_forecasting,scalability_replication_modeling,long_term_climate_suitability_modeling,automated_land_use_cover_change_detection,digital_mrv_measurement_reporting_verif,personalized_behavioral_nudging,adaptive_learning_training_platforms,vulnerability_equity_targeting,supply_chain_logistics_optimization,voice_first_community_sentiment_analysis,stakeholder_donor_matching,knowledge_synthesis_retrieval,biodiversity_bio_acoustics_id
796,"Nema Foundation, Guludo beach lodge",,,0.204446533,0.040673368,0.03906991,0.054411739,0.077645224,0.057127956,0.066432149,0.106958813,0.083543857,0.097813487,0.096620915,0.076854765,0.084743506,0.118296755,0.110349072,0.133943969,0.09932707,0.112872638,0.143303136,0.138106179,0.122950034,0.135243608,0.144513113,0.168033691
591,Mangrove Action Project,,,0.274435145,0.04793607,0.049098547,0.061369632,0.084752704,0.072537818,0.079405595,0.133961403,0.104166954,0.098562911,0.089182306,0.082634441,0.094406456,0.11446862,0.099095151,0.102888758,0.0993762,0.10755509,0.136742507,0.137709438,0.130810998,0.136227669,0.124464869,0.198419447
829,Grand-Sable Fishermen Association,,,0.153423289,0.026647431,0.025005495,0.041571442,0.044124688,0.050938039,0.049838114,0.142539652,0.082320497,0.098865958,0.09145264,0.080336007,0.053889806,0.145707673,0.105769022,0.106451221,0.094630623,0.097778348,0.109847611,0.116000377,0.126528304,0.1402191,0.145699019,0.152185734
110,Chaudhary Farms Dairy,,,0.016768389,0.053371881,0.03994242,0.030646449,0.044475639,0.092811327,0.042006903,0.055745393,0.058490776,0.045806921,0.043159865,0.037262793,0.052238478,0.050210052,0.053571187,0.064488449,0.052772712,0.04267776,0.065245859,0.067543743,0.072343836,0.055495237,0.090324727,0.065871785
498,Cooperative Nouara ain lahjar,,,0.023962217,0.05735256,0.031707433,0.020794783,0.049782978,0.036408581,0.036805323,0.048510755,0.052999224,0.054427866,0.063151267,0.050108519,0.051773811,0.071493308,0.062933394,0.075152194,0.060262601,0.066602903,0.086581379,0.083174241,0.072884848,0.124146418,0.093212146,0.083909626
581,Project Wildfire,,,0.036926597,0.026136671,0.028522804,0.035851472,0.046169494,0.04869425,0.042966522,0.069244812,0.045374046,0.076659199,0.057959529,0.052449163,0.063807118,0.072508081,0.064441395,0.086922561,0.062309834,0.064881894,0.080344054,0.0863022,0.084681748,0.084127697,0.093303208,0.087843312
630,City of Fort Lauderdale,,,0.034539065,0.023554964,0.018114632,0.045025688,0.037753918,0.03369062,0.043513598,0.078916204,0.050630583,0.08149681,0.059813563,0.073439267,0.055306129,0.083512695,0.072871896,0.069658282,0.061557369,0.074650536,0.087329535,0.080978234,0.080082845,0.093815879,0.094373839,0.082754991
628,National Incident Management Systems and Advanced Technologies (NIMSAT) Institute at the University of Louisiana at Lafayette,,,0.031798532,0.021669615,0.021047204,0.03418929,0.036885418,0.035415138,0.043195268,0.064593013,0.058781657,0.063367019,0.061450288,0.054589961,0.040142307,0.055932524,0.068245027,0.063430056,0.059454777,0.074885124,0.080831797,0.087710387,0.074814676,0.089938151,0.080984243,0.079536724
813,Dar Es Salaam Charcoal,,,0.053342925,0.017663351,0.03409101,0.071537705,0.035817781,0.039456711,0.067793609,0.089511643,0.066550955,0.044013023,0.04641008,0.059902794,0.057192268,0.071048601,0.064391394,0.070644101,0.049407155,0.068797037,0.066443649,0.074180362,0.094363019,0.070525697,0.070054333,0.103183862
637,The Natural Resilience Fund,,,0.026239029,0.024778306,0.012007769,0.043088065,0.041212074,0.027359541,0.08889466,0.093165591,0.053623636,0.101977536,0.032897442,0.04011836,0.067490305,0.080873387,0.04853566,0.046266862,0.050698906,0.058327018,0.0958131,0.063462189,0.065918252,0.084542516,0.097681167,0.072934487
614,Haiphong construction department,,,0.042116431,0.02329319,0.020211261,0.040127653,0.074749103,0.040886008,0.027412516,0.179835778,0.052357867,0.10949433,0.061659094,0.046045255,0.059201202,0.06025626,0.068505744,0.064445851,0.050086611,0.066958054,0.101304195,0.087692631,0.071173579,0.106709687,0.100264366,0.088772739
627,Restore America's Estuaries,,,0.034779937,0.038918831,0.02981007,0.051232912,0.050085517,0.059474962,0.06232303,0.159746581,0.068974628,0.065120804,0.071553457,0.074118778,0.069427571,0.065677316,0.077890036,0.104315764,0.089222285,0.066752937,0.112200732,0.126512029,0.094824599,0.091313707,0.118490452,0.120097377
589,Pinellas County EM,,,0.042705425,0.044442206,0.044353021,0.059439161,0.04016566,0.059948133,0.052716757,0.240319908,0.088585277,0.076312489,0.111605548,0.079669073,0.060850408,0.072348527,0.081258887,0.090442736,0.086809326,0.088835927,0.128249773,0.109852057,0.091773984,0.115850782,0.121542311,0.098837907
603,Center for Ecosystem Restoration,,,0.071212523,0.02824025,0.050419595,0.068020385,0.05799566,0.066510447,0.077197576,0.204808464,0.097784411,0.096563453,0.075429088,0.061484744,0.086735414,0.100255407,0.090061871,0.106200074,0.078679151,0.083698234,0.105624965,0.116577387,0.101586651,0.121282056,0.105033451,0.193418322
156,Oceanic Society,,,0.035871772,0.055528144,0.055326576,0.05695185,0.065466592,0.072204514,0.070525214,0.092266869,0.107474021,0.061834112,0.101296944,0.055374279,0.082333541,0.090490657,0.105912672,0.134333164,0.208259821,0.109613306,0.119320677,0.123520475,0.125726921,0.095032617,0.129971612,0.133514944
216,Oroeco,,,0.03100353,0.065585366,0.052013068,0.053475603,0.070478668,0.055451621,0.058602531,0.055536972,0.079509217,0.038678285,0.079391236,0.043413048,0.055710023,0.072500728,0.056159486,0.098727993,0.139634643,0.053957105,0.089822228,0.087753107,0.081944156,0.072091336,0.077317708,0.087426629
1048,Rich Earth Institute,,,0.027963291,0.028328843,0.056366838,0.040811093,0.055306038,0.063875689,0.049121593,0.073153139,0.160648731,0.059162377,0.08536598,0.053557165,0.075652736,0.06817858,0.065942725,0.089927614,0.110292244,0.117269243,0.08153571,0.083343973,0.093313213,0.088863581,0.11030163,0.08970699
249,Alternative Pest Solutions,,,0.041993549,0.049500482,0.040474726,0.059171272,0.060864069,0.145171627,0.053070263,0.061729495,0.090550623,0.077901416,0.078036669,0.066750869,0.065828385,0.087926435,0.090505182,0.103186778,0.083085262,0.086218186,0.103525169,0.11692876,0.106382173,0.107072783,0.121000752,0.113174973
528,Rainforest Alliance,,,0.041952622,0.058651995,0.047215327,0.048361125,0.059839226,0.120878924,0.054864812,0.07293159,0.110933958,0.088553065,0.088154745,0.08323229,0.070614294,0.088632988,0.101008582,0.08949666,0.079102214,0.100099589,0.106782615,0.100355596,0.097945777,0.107145264,0.135715479,0.116216939
822,"International Federation of Red Cross and Red Crescent Societies, Country office in Vietnam",,,0.104526295,0.065690366,0.043924639,0.06296238,0.051336405,0.049135073,0.061368051,0.144447071,0.073965009,0.083101191,0.093737542,0.075481867,0.064767235,0.09014295,0.11439123,0.126090025,0.0867698,0.089026938,0.111280018,0.121567383,0.123561762,0.131936316,0.144224122,0.149849127
825,Bluefields People's Community Assiciation (BPCA),,,0.077150118,0.047698041,0.050848408,0.047787552,0.043546789,0.065710524,0.083797493,0.100648268,0.116947078,0.074275112,0.084655432,0.073064355,0.075977971,0.065404137,0.123482591,0.092217011,0.085054733,0.109427963,0.126884127,0.123799632,0.149316613,0.110355305,0.110684983,0.131962777
183,More Than Water,,,0.046372716,0.045486405,0.032935122,0.10880209,0.063118259,0.067358152,0.084604963,0.079560099,0.054079454,0.076398686,0.106052546,0.110155007,0.0819654,0.08396786,0.101072991,0.114972976,0.102178251,0.073520746,0.118967909,0.11928725,0.110824267,0.1142086,0.131010133,0.112595957
150,EnviroMedia Inc.,,,0.051338798,0.041559795,0.042303113,0.099702901,0.053411701,0.06078964,0.072664735,0.076513633,0.079953152,0.071752671,0.07371513,0.072294926,0.074206553,0.067352076,0.106344678,0.10832693,0.141572106,0.073940424,0.127761801,0.134501016,0.106366098,0.107156349,0.128874812,0.123542094
192,Akatu Institute,,,0.065282177,0.034667436,0.047608395,0.081914374,0.071870065,0.067144527,0.068138288,0.088759253,0.076620392,0.091849326,0.085402458,0.078600451,0.092442772,0.100429829,0.103918204,0.144800054,0.142339329,0.085265711,0.121513969,0.160695759,0.12740767,0.108523781,0.155950727,0.137975288
167,MeterLeader,,,0.033123985,0.064388606,0.060234381,0.076400692,0.077434301,0.062288921,0.103595962,0.076959664,0.07016069,0.063724438,0.091607141,0.070580244,0.071137084,0.082921197,0.095350191,0.126255927,0.121819407,0.070898014,0.117931251,0.104903101,0.1330033,0.090491159,0.120734174,0.091546158
554,Recovers,,,0.038622315,0.049656479,0.054149354,0.079279253,0.067993255,0.061907039,0.076103905,0.103965893,0.085179511,0.076865011,0.084651253,0.069123929,0.069236595,0.073814106,0.077261573,0.099545128,0.091181902,0.123182187,0.127872355,0.117870263,0.145629601,0.112375688,0.109729749,0.112535951
613,"Red Hook HUB, c/o Red Hook Initiative",,,0.045588695,0.035124326,0.041736004,0.05941221,0.055809561,0.054344382,0.069165493,0.100942486,0.084050102,0.086690696,0.08903888,0.088245453,0.07640149,0.081676775,0.089118682,0.10863048,0.094559616,0.124797308,0.148291089,0.133459171,0.133916713,0.132420587,0.143517819,0.128011514
57,Community Cycles,,,0.044609355,0.046524421,0.057506709,0.060958921,0.060807843,0.061820079,0.070573983,0.084329898,0.082565575,0.054574235,0.089211751,0.053766601,0.076331024,0.057788787,0.078690451,0.131795494,0.112722636,0.081261315,0.116041609,0.121525568,0.113691758,0.091159332,0.118119128,0.120966476
218,The Hive Orlando / IDEAS For Us,,,0.039133418,0.045547136,0.059766268,0.055834961,0.062385829,0.067551603,0.075470513,0.079360767,0.073183373,0.065627572,0.07514442,0.063351505,0.074429458,0.075897721,0.082394375,0.117419967,0.102391084,0.079862422,0.115512267,0.115429103,0.107057425,0.103609765,0.108026988,0.106227403
210,McGill University Office of Sustainability,,,0.044189603,0.04731275,0.063432424,0.049376931,0.05513614,0.065396669,0.069642631,0.092224988,0.085397867,0.06762685,0.093514248,0.079573424,0.077043358,0.065290495,0.089343696,0.106350155,0.088027954,0.097242908,0.140255028,0.11597019,0.13417797,0.126848172,0.134993102,0.114080746
100,"Care About Climate, Inc",,,0.047354711,0.048282456,0.035205343,0.073178614,0.067977402,0.053449801,0.074002033,0.076656721,0.06548598,0.084714372,0.067269442,0.075484423,0.087814699,0.114773746,0.099706449,0.110293068,0.098054836,0.081031103,0.130711186,0.125850758,0.123650975,0.119140355,0.134725449,0.107284394
223,Plastik Detox (Catalyze),,,0.042528346,0.057245031,0.045767816,0.059686315,0.072374084,0.057652429,0.062494547,0.078156075,0.061833206,0.089075424,0.082175941,0.078879934,0.091008394,0.087364936,0.10406416,0.109821662,0.100983137,0.095088173,0.126339591,0.127696951,0.117190395,0.129142729,0.156650111,0.113981309
131,University of Cambridge,,,0.042941412,0.051624399,0.039747913,0.066659973,0.065094647,0.060788755,0.076202885,0.083860691,0.080175815,0.084897993,0.106512039,0.090013831,0.080064319,0.089955119,0.099477136,0.123780141,0.106466666,0.08320941,0.129614034,0.137403325,0.118853105,0.113335043,0.148659494,0.131241187
1041,Responsible Cafes,,,0.042033469,0.046215827,0.048935779,0.065827237,0.070233772,0.053688369,0.072350332,0.075821726,0.072756603,0.073817614,0.091935078,0.072937838,0.076149003,0.073753405,0.099397202,0.12103738,0.098730336,0.087538927,0.12812682,0.130149594,0.127891497,0.120686135,0.134982493,0.110457668
10,Northwest Earth Institute's EcoChallenge Platform,,,0.036621046,0.055461745,0.047248927,0.069038861,0.071652773,0.064897594,0.072898216,0.081049525,0.088734704,0.065693464,0.110079272,0.068369712,0.080115011,0.074635366,0.087691367,0.118110542,0.106530287,0.087864341,0.121093953,0.111123243,0.118565591,0.104185062,0.127322154,0.102377061
212,Acterra,,,0.05043011,0.04978782,0.06015674,0.058937735,0.060204218,0.054346625,0.071619031,0.09298641,0.060800001,0.074676651,0.104196818,0.06921402,0.073555083,0.10210213,0.100170641,0.121279331,0.112439434,0.084371441,0.134494668,0.12609859,0.129491879,0.112614998,0.1372336,0.123171846
70,Pearl Recycling,,,0.047012366,0.042786506,0.05123568,0.063665012,0.063790205,0.05703782,0.071340926,0.084678591,0.087413568,0.088258471,0.087459864,0.075703443,0.088795391,0.087054473,0.105662986,0.139083864,0.111177121,0.098723529,0.128572364,0.135122361,0.131397774,0.129919695,0.177762631,0.135065186
211,Impact Human,,,0.041807881,0.05122879,0.063570398,0.06195967,0.083031353,0.070188785,0.080847733,0.087728748,0.099451752,0.081674253,0.095373604,0.069397042,0.091010094,0.099178023,0.097488172,0.133935021,0.094577101,0.099902273,0.129365412,0.136166341,0.122524594,0.133260201,0.142695759,0.115958878
1076,Coast 4C,,,0.041430017,0.04425703,0.054936385,0.059692678,0.068850013,0.070378027,0.087348737,0.110707627,0.082404457,0.095760666,0.086531233,0.073847314,0.086452783,0.088873762,0.105703565,0.12388213,0.113096442,0.098194978,0.122463971,0.176394387,0.142340385,0.132283695,0.137014431,0.134817101
128,Mediae Company,,,0.041747764,0.052680636,0.052579429,0.053470664,0.066818415,0.071188961,0.069986071,0.080293552,0.092985062,0.097153645,0.099556017,0.083353973,0.075287479,0.090836461,0.100657091,0.112291677,0.094523774,0.103355342,0.131391603,0.208750704,0.148952743,0.135578651,0.124737085,0.124538621
617,The Trust for Public Land,,,0.045997852,0.059930191,0.056547224,0.083973247,0.067196725,0.079201194,0.068940082,0.090267565,0.088477801,0.118876747,0.116599098,0.068629857,0.081272453,0.114942824,0.094713145,0.113193823,0.09931574,0.0950997,0.152593651,0.121884736,0.120180573,0.110230383,0.115208407,0.117885121
1032,Environment and Social Development Organization-ESDO,,,0.047670899,0.061832332,0.032618062,0.088814798,0.047444586,0.075427688,0.056357564,0.111310563,0.093622393,0.075563736,0.09118774,0.083007055,0.069756918,0.093096376,0.091048089,0.116241059,0.100427438,0.101639597,0.112824289,0.113751202,0.120916403,0.124765034,0.11888195,0.136854477
830,Conservation Society of Pohnpei,,,0.047403336,0.06820318,0.040756547,0.060287066,0.064675403,0.066297838,0.067252379,0.125563715,0.072851345,0.063935017,0.091355232,0.089188416,0.102973341,0.102590995,0.110078287,0.106610288,0.087240787,0.083353114,0.10262811,0.115835866,0.142926877,0.10471735,0.154904718,0.136648518
570,Global Food Exchange,,,0.047694434,0.037866363,0.032237906,0.056311725,0.051169554,0.054176213,0.065702241,0.073908446,0.082112005,0.071437044,0.07746924,0.076183005,0.063971044,0.076425421,0.083153646,0.099781695,0.08083988,0.098261994,0.175023139,0.179712832,0.108912027,0.120433186,0.113541021,0.116905224
44,Green Farm CO2FREE,,,0.077091929,0.036646802,0.045566519,0.048983372,0.055778397,0.059700551,0.058509672,0.077047514,0.090491453,0.06763866,0.071761746,0.052279058,0.08504794,0.091212071,0.077974709,0.128104402,0.089679602,0.085564126,0.111796088,0.128618038,0.098235255,0.115579874,0.107828051,0.160298403
149,Mercy Corps,,,0.070179352,0.038657425,0.041576769,0.046758497,0.053238632,0.056848068,0.056437972,0.086712651,0.072157863,0.071752826,0.087321257,0.077934171,0.073777438,0.097260238,0.111055691,0.118347513,0.08685721,0.088849497,0.126063919,0.141089625,0.103999717,0.126239531,0.118102564,0.116657363
606,New Orleans Redevelopment Authority (NORA),,,0.042499094,0.034352493,0.027110598,0.058998152,0.051408354,0.045886775,0.057338974,0.066254777,0.06094364,0.119032159,0.07190796,0.062273687,0.083568783,0.084591033,0.080091281,0.089113264,0.07690001,0.08920944,0.129641359,0.092835059,0.101751107,0.113795371,0.110869018,0.100149277
144,Climate Alliance,,,0.033175964,0.029782779,0.034575631,0.049382228,0.062362877,0.045084753,0.049580594,0.062631852,0.061587624,0.090166003,0.073268439,0.068691884,0.062753218,0.077294581,0.076273805,0.094367499,0.071766365,0.069806696,0.09514114,0.090434372,0.097630348,0.097008585,0.106894621,0.088941401
221,Germanwatch e.V. (www.germanwatch.org),,,0.034070517,0.040723549,0.036320124,0.035915825,0.048255939,0.045685225,0.058148239,0.061855865,0.061641413,0.095786274,0.076972638,0.072670484,0.068653952,0.088862947,0.082598315,0.090470507,0.084476928,0.090443336,0.108347214,0.096072256,0.098815477,0.108569612,0.118136276,0.09647327
1045,"T.C. Price Materials, LLC",,,0.050786896,0.045372962,0.033770449,0.046250665,0.065782424,0.053395016,0.054068393,0.066251754,0.067523806,0.077247485,0.086454408,0.086625483,0.064140928,0.079869353,0.086697327,0.086639646,0.076037554,0.084162205,0.107734829,0.112162871,0.098693367,0.114967096,0.108252569,0.103651128
170,The Planet Mark‚Ñ¢,,,0.048262924,0.030499257,0.034809804,0.053209514,0.048030458,0.042709102,0.050500075,0.06502955,0.070880644,0.059446278,0.083424717,0.063103457,0.071537473,0.079955316,0.088776023,0.128062724,0.099524857,0.07269637,0.099893599,0.110485759,0.101867113,0.098756624,0.10944804,0.107166542
198,Empowerment Institute,,,0.053223604,0.038251163,0.043927736,0.049984401,0.05655932,0.049554419,0.059512718,0.064104964,0.068148891,0.065127295,0.081657399,0.063434677,0.054527686,0.070868874,0.090121246,0.107567358,0.097653693,0.086231573,0.121026781,0.098726877,0.116355796,0.099250329,0.113358162,0.092537001
201,Bioregional,,,0.03833352,0.042263733,0.040279882,0.050707051,0.0468398,0.049605067,0.058832331,0.064371276,0.061599113,0.051075467,0.079739952,0.056600669,0.059759771,0.058807433,0.075434039,0.095809954,0.098007065,0.075186533,0.105983328,0.094341635,0.093135457,0.093048533,0.102819287,0.092992925
165,Eco-Cycle,,,0.039981192,0.036999392,0.040145567,0.048926389,0.063591623,0.055110096,0.073678131,0.077935817,0.083280603,0.0654224,0.072946953,0.067613062,0.072495975,0.082389275,0.079124633,0.107478537,0.117847437,0.093015925,0.117908079,0.114335901,0.11903322,0.111011071,0.109741333,0.118654043
994,Madiba & Nature,,,0.04821552,0.029869456,0.044928145,0.03044996,0.058778252,0.050941971,0.057578025,0.082634455,0.083965824,0.078833585,0.085908365,0.061932167,0.069812626,0.088942533,0.086433311,0.115125986,0.104999015,0.089290504,0.118300356,0.126717351,0.114842013,0.12423444,0.132723054,0.12609613
71,Stichting Nationale Week Zonder Vlees (National Week Without Meat Foundation),,,0.039491395,0.036878648,0.0383618,0.034773006,0.053731425,0.046126222,0.051531643,0.071452513,0.083919699,0.075752187,0.119565793,0.062794947,0.054684905,0.081786768,0.085714734,0.114856251,0.100592556,0.093432346,0.10497483,0.110660568,0.104694431,0.122806447,0.111475889,0.107984229
214,Lanka Fundamental Rights Organization,,,0.04775459,0.050842709,0.038471661,0.046751991,0.045637674,0.047843414,0.050616879,0.069631899,0.086271715,0.078162429,0.086933497,0.079405414,0.059004276,0.115748093,0.095782256,0.120234003,0.098430448,0.101405566,0.117453443,0.103403687,0.107815451,0.117630011,0.107882618,0.104995699
594,City of Arlington Fire Department's Office of Emergency Management,,,0.036916704,0.029655127,0.03203957,0.057337699,0.052184943,0.04908271,0.061161268,0.081894251,0.06872377,0.073308657,0.066552765,0.059836164,0.066482785,0.075644139,0.083474599,0.096663512,0.081356926,0.083794012,0.125357411,0.127449139,0.105729568,0.099049481,0.113628344,0.105726686
595,International Center for Disaster Recovery,,,0.028851505,0.042110683,0.036708872,0.058557745,0.061450145,0.0522489,0.06832068,0.09340181,0.07476154,0.072869779,0.060774478,0.056684425,0.078459297,0.071683054,0.069574598,0.092235235,0.080447897,0.095536306,0.136727627,0.121480779,0.103864615,0.090667738,0.138633432,0.088645616
559,World Cares Centre,,,0.036882481,0.038394188,0.031050491,0.053969821,0.061727044,0.05659444,0.079038526,0.103340882,0.07010796,0.082058382,0.062544089,0.065302261,0.101328344,0.079199796,0.085282409,0.101683771,0.080773273,0.092732288,0.149915274,0.119449834,0.122523002,0.089250539,0.141067199,0.10891678
141,New England Aquarium,,,0.030523923,0.035363089,0.045723934,0.058319477,0.065444261,0.053483195,0.070413078,0.078697504,0.058868238,0.074426329,0.060158167,0.05831763,0.103874675,0.096999747,0.089388851,0.103009302,0.085189481,0.073281265,0.109593128,0.112160934,0.10564422,0.09656687,0.125775269,0.090880522
1061,WILDCOAST,,,0.045157265,0.035111705,0.043274378,0.04911957,0.067853148,0.055702208,0.065389636,0.084222046,0.087941031,0.0894022,0.078688349,0.0655018,0.116277293,0.080108221,0.093942269,0.100841515,0.105144832,0.102342905,0.115282763,0.118541295,0.113396884,0.119177416,0.113444846,0.125047258
202,Climate Ride,,,0.0377053,0.043471416,0.018416429,0.064608654,0.051255241,0.044308829,0.053925044,0.067459637,0.032873726,0.06319724,0.075449561,0.066941221,0.059943393,0.100326354,0.089060948,0.097993676,0.093216186,0.064387295,0.101106032,0.092231307,0.096303775,0.083185358,0.128719208,0.094561028
585,Borough of Spring Lake,,,0.055192612,0.030664427,0.02918148,0.065107217,0.046087784,0.045281862,0.055510405,0.084222241,0.061204916,0.092382336,0.110161524,0.095678906,0.051080027,0.095267018,0.112610704,0.094563106,0.08236469,0.086533865,0.106329364,0.111851098,0.102548843,0.148582243,0.14579938,0.120961327
831,NATURE BODIES (SCHOOL ECO CLUB),,,0.054716561,0.049026753,0.037936878,0.054880442,0.042721084,0.052471764,0.061160383,0.076332076,0.082075983,0.107167182,0.092924584,0.072155508,0.069464787,0.074430839,0.137895056,0.103653868,0.086674325,0.106869168,0.115173605,0.116010652,0.106334013,0.130374878,0.121045697,0.202640724
760,Village Development Committee of ANDO-KPOMEY,,,0.046866122,0.038921016,0.038624764,0.045796352,0.045123625,0.0351609,0.058255864,0.086357016,0.073804468,0.081034271,0.081077697,0.09094796,0.058148983,0.085425372,0.098822109,0.094358727,0.081761932,0.107143947,0.102736005,0.107670517,0.12959024,0.115074129,0.110193019,0.214741358
788,Musambwa Islands Joint Conservation Organisation (MIJCO),,,0.051553725,0.023888733,0.042313767,0.035624304,0.05337199,0.044725941,0.057294923,0.070600034,0.086583958,0.089165335,0.076665604,0.075476084,0.066287509,0.094374449,0.102571579,0.07721005,0.091402897,0.140665291,0.109299582,0.108060717,0.125747748,0.131451696,0.122313768,0.148953794
636,"Fifth Avenue Committee, Inc.",,,0.030514786,0.029589902,0.056002953,0.044053324,0.067965802,0.063071149,0.075634179,0.11212164,0.086758856,0.079316536,0.066140119,0.065513411,0.071016612,0.094573185,0.077257066,0.088026235,0.076837076,0.097130892,0.19657668,0.109242716,0.134771117,0.119138367,0.146627893,0.096306644
161,Green Map System,,,0.049173416,0.034329759,0.059005597,0.050325235,0.083382237,0.067777397,0.074280368,0.087460611,0.101525797,0.069470519,0.090902112,0.058905952,0.094545297,0.0727219,0.072543622,0.122709427,0.09066641,0.095971156,0.193498496,0.121548298,0.12275737,0.117454433,0.133849952,0.117920561
622,LuminAID Lab,,,0.033102088,0.031429192,0.034954466,0.05322984,0.061899772,0.06565748,0.14786822,0.101569473,0.075655838,0.089026255,0.062880034,0.06123578,0.07503141,0.071024888,0.078578508,0.097871818,0.077757079,0.079057956,0.151392971,0.160298813,0.10952485,0.112972451,0.115723386,0.106309108
169,Interfaith Power & Light,,,0.052809238,0.026720254,0.043492598,0.051595209,0.060438358,0.04339182,0.132718163,0.063850909,0.057284989,0.067311799,0.064387437,0.066742019,0.068099815,0.074156574,0.08452149,0.105983549,0.104571778,0.0736789,0.126310077,0.102115262,0.108936635,0.108269725,0.113813596,0.089317205
827,Direction of Science and Tecnologia Agropecuaria DICTA,,,0.047158525,0.049779841,0.03203448,0.046821981,0.04592575,0.083639667,0.13417252,0.070254785,0.077972836,0.077441466,0.084768918,0.078509523,0.063591574,0.135209182,0.126699965,0.120793953,0.092880625,0.087214827,0.11104569,0.129597314,0.116009513,0.105274455,0.149280868,0.125044494
